sim_time,real_time,truck_id,mode,SOC(%),position(m),velocity(km/h)
107.647,1.76008e+09,truck0,LV,99.9092,0.210332,1.20852
107.747,1.76008e+09,truck0,LV,99.9093,0.213689,1.22065
107.827,1.76008e+09,truck0,LV,99.9093,0.21708,1.23279
107.927,1.76008e+09,truck0,LV,99.9093,0.220504,1.24492
108.108.047,1.76008e+09,truck2,FV2,99.9068,0.236596,1.4108.187,1.76008e+09,truck0,LV,99.9093,0.227454,1.26918
108.267,1.76008e+09,truck0,LV,99.909,0.23098,1.28131
108.347,1.76008e+09,truck0,LV,99.909,0.234539,1.27012
108.447,1.76008e+09,truck0,LV,99.9092,0.238067,1.28225
108.527,1.76008e+09,truck0,LV,99.9092,0.241629,1.29438
108.607,1.76008e+09,truck0,LV,99.9091,0.245224,1.30651
108.707,1.7108.727,1.76008e+09,truck2,FV2,99.9059,0.26108.887,1.76008e+09,truck0,LV,99.9089,0.252516,1.33078
108.967,1.76008e+09,truck0,LV,99.9088,0.256213,1.34291
109.047,1.76008e+09,truck0,LV,99.9087,0.259943,1.35504
109.147,1.76008e+09,truck0,LV,99.9085,0.263707,1.36717
109.227,1.76008e+09,truck0,LV,99.9084,0.267505,1.3793
109.307,1.76008e+09,truck0,LV,99.9082,0.271336,1.39143
109.407,1.76008e109.427,1.76008e+09,truck2,FV2,99.9054,109.567,1.76008e+09,truck0,LV,99.9074,0.2791,1.39237
109.667,1.76008e+09,truck0,LV,99.9076,0.282968,1.38118
109.747,1.76008e+09,truck0,LV,99.9077,0.286805,1.39331
109.827,1.76008e+09,truck0,LV,99.9074,0.290675,1.40544
109.927,1.76008e+09,truck0,LV,99.9074,0.294579,1.39425
110.007,1.76008e+09,tr110.047,1.76008e+09,truck2,FV2,99110.107,1.76008e+09,tru110.127,1.76008e+09,truck2,FV2,9110.267,1.76008e+09,truck0,LV,99.9069,0.306293,1.40525
110.367,1.76008e+09,truck0,LV,99.9072,0.310197,1.39405
110.447,1.76008e+09,truck0,LV,99.9075,0.314069,1.40618
110.527,1.76008e+09,truck0,LV,99.9075,0.317975,1.41832
110.627,1.76008e+09,truck0,LV,99.9075,0.321915,1.43045
110.707,1.76008e+09,truck0,L110.747,1.76008e+09,truck2,110.807,1.76008e+09,truck0,L110.827,1.76008e+09,truck2,110.967,1.76008e+09,truck0,LV,99.9072,0.333871,1.4202
