Step,pos_front,vel_front,Speed,Position,SOC,Throttle,Brake
407,816,20.8,11.7008,223.235,99.6125,1,0
408,818,20.8,11.7315,224.406,99.6116,1,0
409,820,20.8,11.7621,225.581,99.6107,1,0
410,822,20.8,11.7927,226.759,99.6098,1,0
411,824,20.8,11.8234,227.94,99.609,1,0
412,826,20.8,11.854,229.124,99.6081,1,0
413,828,20.8,11.8846,230.311,99.6072,1,0
414,830,20.8,11.9153,231.501,99.6063,1,0
415,832,20.8,11.9459,232.694,99.6054,1,0
416,834,20.8,11.9765,233.89,99.6044,1,0
417,836,20.8,12.0072,235.089,99.6035,1,0
418,838,20.8,12.0378,236.291,99.6026,1,0
419,840,20.8,12.0684,237.496,99.6017,1,0
420,842,20.8,12.0991,238.705,99.6008,1,0
421,844,20.8,12.1297,239.916,99.5999,1,0
422,846,20.8,12.1603,241.131,99.5989,1,0
423,848,20.8,12.191,242.348,99.598,1,0
424,850,20.8,12.2216,243.569,99.597,1,0
425,852,20.8,12.2522,244.793,99.5961,1,0
426,854,20.8,12.2829,246.019,99.5952,1,0
427,856,20.8,12.3135,247.249,99.5942,1,0
428,858,20.8,12.3442,248.482,99.5933,1,0
429,860,20.8,12.3748,249.718,99.5923,1,0
430,862,20.8,12.4054,250.957,99.5913,1,0
431,864,20.8,12.4361,252.199,99.5904,1,0
432,866,20.8,12.4667,253.444,99.5894,1,0
433,868,20.8,12.4973,254.692,99.5884,1,0
434,870,20.8,12.528,255.944,99.5875,1,0
435,872,20.8,12.5586,257.198,99.5865,1,0
436,874,20.8,12.5892,258.455,99.5855,1,0
437,876,20.8,12.6199,259.716,99.5845,1,0
438,878,20.8,12.6505,260.979,99.5835,1,0
439,880,20.8,12.6811,262.246,99.5825,1,0
440,882,20.8,12.7118,263.516,99.5815,1,0
441,884,20.8,12.7424,264.788,99.5805,1,0
442,886,20.8,12.773,266.064,99.5795,1,0
443,888,20.8,12.8037,267.343,99.5785,1,0
444,890,20.8,12.8343,268.625,99.5775,1,0
445,892,20.8,12.8649,269.91,99.5765,1,0
446,894,20.8,12.8956,271.198,99.5755,1,0
447,896,20.8,12.9262,272.489,99.5745,1,0
448,898,20.8,12.9568,273.783,99.5734,1,0
449,900,20.8,12.9875,275.08,99.5724,1,0
450,902,20.8,13.0181,276.381,99.5714,1,0
451,904,20.8,13.0488,277.684,99.5703,1,0
452,906,20.8,13.0794,278.99,99.5693,1,0
453,908,20.8,13.11,280.3,99.5682,1,0
454,910,20.8,13.1407,281.612,99.5672,1,0
455,912,20.8,13.1713,282.928,99.5661,1,0
456,914,20.8,13.2019,284.247,99.5651,1,0
457,916,20.8,13.2326,285.568,99.564,1,0
458,918,20.8,13.2632,286.893,99.563,1,0
459,920,20.8,13.2938,288.221,99.5619,1,0
460,922,20.8,13.3245,289.552,99.5608,1,0
461,924,20.8,13.3551,290.886,99.5597,1,0
462,926,20.8,13.3857,292.223,99.5587,1,0
463,928,20.8,13.4164,293.563,99.5576,1,0
464,930,20.8,13.447,294.906,99.5565,1,0
465,932,20.8,13.4776,296.252,99.5554,1,0
466,934,20.8,13.5083,297.602,99.5543,1,0
467,936,20.8,13.5389,298.954,99.5532,1,0
468,938,20.8,13.5695,300.31,99.5521,1,0
469,940,20.8,13.6002,301.668,99.551,1,0
470,942,20.8,13.6308,303.03,99.5499,1,0
471,944,20.8,13.6615,304.394,99.5488,1,0
472,946,20.8,13.6921,305.762,99.5477,1,0
473,948,20.8,13.7227,307.133,99.5465,1,0
474,950,20.8,13.7534,308.506,99.5454,1,0
475,952,20.8,13.784,309.883,99.5443,1,0
476,954,20.8,13.8146,311.263,99.5431,1,0
477,956,20.8,13.8453,312.646,99.542,1,0
478,958,20.8,13.8759,314.032,99.5409,1,0
479,960,20.8,13.9065,315.421,99.5397,1,0
480,962,20.8,13.9372,316.814,99.5386,1,0
481,964,20.8,13.9678,318.209,99.5374,1,0
482,966,20.8,13.9984,319.607,99.5363,1,0
483,968,20.8,14.0291,321.008,99.5351,1,0
484,970,20.8,14.0597,322.413,99.5339,1,0
485,972,20.8,14.0903,323.82,99.5328,1,0
486,974,20.8,14.121,325.231,99.5316,1,0
487,976,20.8,14.1516,326.645,99.5304,1,0
488,978,20.8,14.1822,328.061,99.5292,1,0
489,980,20.8,14.2129,329.481,99.528,1,0
490,982,20.8,14.2435,330.904,99.5268,1,0
491,984,20.8,14.2741,332.33,99.5257,1,0
492,986,20.8,14.3048,333.759,99.5245,1,0
493,988,20.8,14.3354,335.191,99.5233,1,0
494,990,20.8,14.3661,336.626,99.522,1,0
495,992,20.8,14.3967,338.064,99.5208,1,0
