Step,TargetSpeed,pos_follow,Speed,Position,SOC
535,75,341.254,13.2761,353.254,98.5903
536,75,342.579,13.3004,354.579,98.5872
537,75,343.906,13.3248,355.906,98.5841
538,75,345.236,13.3491,357.236,98.581
539,75,346.569,13.3734,358.569,98.5779
540,75,347.904,13.3976,359.904,98.5748
541,75,349.241,13.4219,361.241,98.5716
542,75,350.581,13.4461,362.581,98.5685
543,75,351.923,13.4703,363.923,98.5654
544,75,353.268,13.4945,365.268,98.5623
545,75,354.615,13.5186,366.615,98.5592
546,75,355.964,13.5427,367.964,98.556
547,75,357.316,13.5668,369.316,98.5529
548,75,358.67,13.5909,370.67,98.5498
549,75,360.027,13.615,372.027,98.5467
550,75,361.386,13.639,373.386,98.5435
551,75,362.748,13.663,374.748,98.5404
552,75,364.111,13.687,376.111,98.5373
553,75,365.478,13.7109,377.478,98.5342
554,75,366.846,13.7349,378.846,98.531
555,75,368.218,13.7588,380.218,98.5279
556,75,369.591,13.7827,381.591,98.5248
557,75,370.967,13.8065,382.967,98.5216
558,75,372.345,13.8304,384.345,98.5185
559,75,373.726,13.8542,385.726,98.5153
560,75,375.109,13.878,387.109,98.5122
561,75,376.494,13.9018,388.494,98.5091
562,75,377.882,13.9255,389.882,98.5059
563,75,379.272,13.9492,391.272,98.5028
564,75,380.665,13.9729,392.665,98.4996
565,75,382.06,13.9966,394.06,98.4965
566,75,383.457,14.0203,395.457,98.4933
567,75,384.857,14.0439,396.857,98.4902
568,75,386.259,14.0675,398.259,98.487
569,75,387.663,14.0911,399.663,98.4839
570,75,389.07,14.1146,401.07,98.4807
571,75,390.479,14.1382,402.479,98.4776
572,75,391.89,14.1617,403.89,98.4744
573,75,393.304,14.1852,405.304,98.4713
574,75,394.72,14.2086,406.72,98.4681
575,75,396.139,14.2321,408.139,98.465
576,75,397.56,14.2555,409.56,98.4618
577,75,398.983,14.2789,410.983,98.4586
578,75,400.409,14.3023,412.409,98.4555
579,75,401.836,14.3256,413.836,98.4523
580,75,403.267,14.3489,415.267,98.4491
581,75,404.699,14.3723,416.699,98.446
582,75,406.134,14.3955,418.134,98.4428
583,75,407.571,14.4188,419.571,98.4396
584,75,409.011,14.442,421.011,98.4365
585,75,410.453,14.4652,422.453,98.4333
586,75,411.897,14.4884,423.897,98.4301
587,75,413.344,14.5116,425.344,98.427
588,75,414.792,14.5347,426.792,98.4238
589,75,416.244,14.5579,428.244,98.4206
590,75,417.697,14.581,429.697,98.4174
591,75,419.153,14.604,431.153,98.4142
592,75,420.611,14.6271,432.611,98.4111
593,75,422.071,14.6501,434.071,98.4079
594,75,423.534,14.6731,435.534,98.4047
595,75,424.999,14.6961,436.999,98.4015
596,75,426.466,14.7191,438.466,98.3983
597,75,427.936,14.742,439.936,98.3952
598,75,429.408,14.7649,441.408,98.392
599,75,430.882,14.7878,442.882,98.3888
600,75,432.359,14.8107,444.359,98.3856
601,75,433.837,14.8335,445.837,98.3824
602,75,435.318,14.8564,447.318,98.3792
603,75,436.802,14.8792,448.802,98.376
604,75,438.287,14.902,450.287,98.3728
605,75,439.775,14.9247,451.775,98.3696
606,75,441.265,14.9474,453.265,98.3664
607,75,442.758,14.9702,454.758,98.3632
608,75,444.253,14.9929,456.253,98.36
609,75,445.75,15.0155,457.75,98.3568
610,75,447.249,15.0382,459.249,98.3536
611,75,448.751,15.0608,460.751,98.3504
612,75,450.254,15.0834,462.254,98.3472
613,75,451.76,15.106,463.76,98.344
614,75,453.269,15.1285,465.269,98.3408
615,75,454.779,15.1511,466.779,98.3376
616,75,456.292,15.1736,468.292,98.3344
617,75,457.807,15.1961,469.807,98.3312
618,75,459.325,15.2185,471.325,98.328
619,75,460.844,15.241,472.844,98.3248
620,75,462.366,15.2634,474.366,98.3215
621,75,463.89,15.2858,475.89,98.3183
622,75,465.417,15.3082,477.417,98.3151
623,75,466.945,15.3305,478.945,98.3119
