Time,Battery_SOC
137.2,97.6945
137.3,97.693
137.4,97.6915
137.5,97.69
137.6,97.6885
137.7,97.687
137.8,97.6855
137.9,97.684
138,97.6825
138.1,97.681
138.2,97.6795
138.3,97.678
138.4,97.6765
138.5,97.675
138.6,97.6735
138.7,97.672
138.8,97.6705
138.9,97.669
139,97.6675
139.1,97.666
139.2,97.6645
139.3,97.663
139.4,97.6615
139.5,97.66
139.6,97.6585
139.7,97.657
139.8,97.6555
139.9,97.654
140,97.6525
140.1,97.651
140.2,97.6495
140.3,97.648
140.4,97.6465
140.5,97.645
140.6,97.6435
140.7,97.642
140.8,97.6405
140.9,97.639
141,97.6375
141.1,97.636
141.2,97.6345
141.3,97.6329
141.4,97.6314
141.5,97.6299
141.6,97.6284
141.7,97.6269
141.8,97.6254
141.9,97.6239
142,97.6224
142.1,97.6209
142.2,97.6194
142.3,97.6179
142.4,97.6164
142.5,97.6149
142.6,97.6134
142.7,97.6119
142.8,97.6104
142.9,97.6089
143,97.6074
143.1,97.6059
143.2,97.6043
143.3,97.6028
143.4,97.6013
143.5,97.5998
143.6,97.5983
143.7,97.5968
143.8,97.5953
143.9,97.5938
144,97.5923
144.1,97.5908
144.2,97.5893
144.3,97.5878
144.4,97.5863
144.5,97.5848
144.6,97.5833
144.7,97.5818
144.8,97.5803
144.9,97.5788
145,97.5773
145.1,97.5758
145.2,97.5743
145.3,97.5728
145.4,97.5713
145.5,97.5698
145.6,97.5683
145.7,97.5668
145.8,97.5653
145.9,97.5638
146,97.5623
146.1,97.5608
146.2,97.5593
146.3,97.5578
146.4,97.5563
146.5,97.5549
146.6,97.5534
146.7,97.5519
146.8,97.5504
146.9,97.5489
147,97.5474
147.1,97.5459
147.2,97.5444
147.3,97.5429
147.4,97.5415
147.5,97.54
147.6,97.5385
147.7,97.537
147.8,97.5355
147.9,97.534
148,97.5326
148.1,97.5311
148.2,97.5296
148.3,97.5281
148.4,97.5266
148.5,97.5252
148.6,97.5237
148.7,97.5222
148.8,97.5207
148.9,97.5193
149,97.5178
149.1,97.5163
149.2,97.5148
149.3,97.5133
149.4,97.5119
149.5,97.5104
149.6,97.5089
149.7,97.5074
149.8,97.5059
149.9,97.5045
150,97.503
150.1,97.5015
150.2,97.5
150.3,97.4985
150.4,97.497
150.5,97.4956
150.6,97.4941
150.7,97.4926
150.8,97.4911
150.9,97.4896
151,97.4881
151.1,97.4866
151.2,97.4852
151.3,97.4837
151.4,97.4822
151.5,97.4807
151.6,97.4792
151.7,97.4777
151.8,97.4762
151.9,97.4747
152,97.4732
152.1,97.4717
152.2,97.4702
152.3,97.4687
152.4,97.4672
152.5,97.4657
152.6,97.4642
152.7,97.4627
152.8,97.4612
152.9,97.4597
153,97.4582
153.1,97.4567
153.2,97.4552
153.3,97.4537
153.4,97.4522
153.5,97.4507
153.6,97.4492
153.7,97.4477
153.8,97.4461
153.9,97.4446
154,97.4431
154.1,97.4416
154.2,97.4401
154.3,97.4386
154.4,97.4371
154.5,97.4356
154.6,97.434
154.7,97.4325
154.8,97.431
154.9,97.4295
155,97.428
155.1,97.4264
155.2,97.4249
155.3,97.4234
155.4,97.4219
155.5,97.4204
155.6,97.4188
155.7,97.4173
155.8,97.4158
155.9,97.4143
156,97.4128
156.1,97.4112
156.2,97.4097
156.3,97.4082
156.4,97.4067
156.5,97.4051
156.6,97.4036
156.7,97.4021
156.8,97.4005
156.9,97.399
157,97.3975
157.1,97.396
157.2,97.3944
157.3,97.3929
157.4,97.3914
157.5,97.3898
157.6,97.3883
157.7,97.3868
157.8,97.3853
157.9,97.3837
158,97.3822
158.1,97.3807
158.2,97.3791
158.3,97.3776
158.4,97.3761
158.5,97.3745
158.6,97.373
158.7,97.3715
158.8,97.3699
158.9,97.3684
159,97.3669
159.1,97.3653
159.2,97.3638
159.3,97.3623
159.4,97.3607
159.5,97.3592
159.6,97.3576
159.7,97.3561
159.8,97.3546
159.9,97.353
160,97.3515
160.1,97.35
160.2,97.3484
160.3,97.3469
160.4,97.3453
160.5,97.3438
